date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
12/03/1949,Wales,Ireland,0,5,1949 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
19/03/1949,England,Scotland,19,3,1949 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
26/03/1949,France,Wales,5,3,1949 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
16/07/1949,South Africa,New Zealand,15,11,1949 New Zealand tour,Newlands,Cape Town,South Africa,FALSE,FALSE
13/08/1949,South Africa,New Zealand,12,6,1949 New Zealand tour,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
28/08/1949,Argentina,France,0,5,1949 France tour of Argentina,Estadio Gimnasia y Esgrima de Buenos Aires,Buenos Aires,Argentina,FALSE,FALSE
03/09/1949,South Africa,New Zealand,9,3,1949 New Zealand tour,Kingsmead,Durban,South Africa,FALSE,FALSE
03/09/1949,New Zealand,Australia,6,11,1949 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
04/09/1949,Argentina,France,3,12,1949 France tour of Argentina,Estadio Gimnasia y Esgrima de Buenos Aires,Buenos Aires,Argentina,FALSE,FALSE
17/09/1949,South Africa,New Zealand,11,8,1949 New Zealand tour,Crusaders Ground,Port Elizabeth,South Africa,FALSE,FALSE
